refix,pretarget,multifix,urevent,tonset,dur_added,rank,first_rank,stposrel,stposabs,n,x,y,istarget,isdistractor,distractor_cat,ditractor_atr,trial_targetseen,trial_correct,trial_cat,trial_resp,trial_atr,trial_type,trial_cattype,trial_number,trial_subject,trial_bgn_latency,NTF_NTO
0,1.0,0,26032,0.8125,0.134765625,3.0,1.0,1,1,3,578.214111328125,154.82666015625,0,1,objects,big,1,1,faces,P,female,VS,I,102,E01,424.322265625,0
0,1.0,0,26033,0.9921875,0.28125,4.0,1.0,3,11,4,678.857177734375,258.474578857422,0,1,faces,female,1,1,faces,P,female,VS,I,102,E01,424.322265625,1
0,1.0,0,26034,1.318359375,0.275390625,5.0,0.0,5,21,5,803.272827148438,360.571228027344,0,1,objects,big,1,1,faces,P,female,VS,I,102,E01,424.322265625,0
0,1.0,0,26037,2.078125,0.18359375,6.0,0.0,13,61,8,1163.60632324219,741.0703125,0,1,objects,small,1,1,faces,P,female,VS,I,102,E01,424.322265625,0
0,1.0,0,26051,0.76171875,0.109375,2.0,1.0,13,75,3,1386.53735351562,306.834014892578,0,1,objects,big,1,1,objects,P,big,VS,O,103,E01,428.521484375,0
0,1.0,0,26052,0.900390625,0.216796875,3.0,1.0,12,74,4,1374.36694335938,278.625854492188,0,1,objects,small,1,1,objects,P,big,VS,O,103,E01,428.521484375,0
0,1.0,0,26053,1.171875,0.169921875,4.0,1.0,11,67,5,1229.59765625,419.624206542969,0,1,faces,female,1,1,objects,P,big,VS,O,103,E01,428.521484375,1
0,1.0,0,26054,1.384765625,0.25390625,5.0,0.0,7,49,6,1081.44702148438,442.461822509766,0,1,faces,female,1,1,objects,P,big,VS,O,103,E01,428.521484375,1
0,1.0,0,26158,0.478515625,0.26171875,2.0,1.0,7,41,2,972.236633300781,492.193206787109,0,1,objects,small,1,1,objects,P,big,VS,O,107,E01,445.318359375,0
1,1.0,0,26398,0.482421875,0.203125,2.0,1.0,2,2,2,566.635192871094,193.745788574219,0,1,objects,small,1,1,faces,P,female,VS,I,116,E01,483.111328125,0
0,1.0,0,26403,1.5234375,0.2734375,5.0,0.0,3,3,7,569.898620605469,329.630767822266,0,1,faces,male,1,1,faces,P,female,VS,I,116,E01,483.111328125,1
1,1.0,0,26406,2.21875,0.287109375,7.0,0.0,10,41,10,981.558044433594,539.688171386719,0,1,faces,male,1,1,faces,P,female,VS,I,116,E01,483.111328125,1
0,1.0,0,26428,0.654296875,0.212890625,2.0,1.0,1,1,4,564.562438964844,138.441635131836,0,1,objects,big,1,1,objects,P,small,VS,O,117,E01,487.310546875,0
0,1.0,0,26448,0.98828125,0.279296875,2.0,1.0,6,29,5,851.335693359375,225.770843505859,0,1,faces,female,1,1,faces,P,male,VS,I,118,E01,491.509765625,1
0,1.0,0,26449,1.3359375,0.21484375,3.0,1.0,1,2,6,573.022583007812,222.873153686523,0,1,faces,male,1,1,faces,P,male,VS,I,118,E01,491.509765625,1
0,1.0,0,26450,1.60546875,0.181640625,4.0,1.0,3,14,7,637.7646484375,502.627899169922,0,1,objects,small,1,1,faces,P,male,VS,I,118,E01,491.509765625,0
0,1.0,0,26451,1.8828125,0.248046875,5.0,0.0,11,50,8,1051.80993652344,522.511535644531,0,1,faces,female,1,1,faces,P,male,VS,I,118,E01,491.509765625,1
0,1.0,0,26470,1.1328125,0.236328125,2.0,1.0,12,58,4,1162.42626953125,428.826263427734,0,1,faces,male,1,1,objects,P,small,VS,O,119,E01,495.708984375,1
0,1.0,0,26471,1.431640625,0.345703125,3.0,1.0,14,77,5,1405.8720703125,534.388244628906,0,1,objects,small,1,1,objects,P,small,VS,O,119,E01,495.708984375,0
0,1.0,0,26473,2.091796875,0.130859375,4.0,1.0,8,24,7,719.328796386719,656.810424804688,0,1,faces,female,1,1,objects,P,small,VS,O,119,E01,495.708984375,1
0,1.0,0,26474,2.283203125,0.220703125,5.0,0.0,6,17,8,659.110107421875,831.48681640625,0,1,faces,male,1,1,objects,P,small,VS,O,119,E01,495.708984375,1
0,1.0,0,26524,1.369140625,0.25390625,2.0,1.0,3,22,7,782.97607421875,464.068481445312,0,1,faces,female,1,1,faces,P,male,VS,I,121,E01,504.107421875,1
0,1.0,0,26526,1.853515625,0.158203125,3.0,1.0,6,34,9,858.964965820312,731.640625,0,1,faces,male,1,1,faces,P,male,VS,I,121,E01,504.107421875,1
0,1.0,0,26527,2.052734375,0.150390625,4.0,1.0,8,43,10,956.240234375,740.650390625,0,1,faces,female,1,1,faces,P,male,VS,I,121,E01,504.107421875,1
0,1.0,0,26528,2.248046875,0.236328125,5.0,0.0,10,53,11,1050.80407714844,840.283386230469,0,1,objects,big,1,1,faces,P,male,VS,I,121,E01,504.107421875,0
0,1.0,1,26529,2.560546875,0.12890625,6.0,0.0,1,9,12,596.355407714844,949.222900390625,0,1,faces,male,1,1,faces,P,male,VS,I,121,E01,504.107421875,1
0,1.0,0,26531,2.86328125,0.154296875,7.0,0.0,4,27,14,711.604187011719,950.149841308594,0,1,faces,female,1,1,faces,P,male,VS,I,121,E01,504.107421875,1
0,1.0,1,26532,3.087890625,0.15625,8.0,0.0,12,63,15,1127.728515625,973.958129882812,0,1,objects,big,1,1,faces,P,male,VS,I,121,E01,504.107421875,0
0,1.0,0,26633,1.40625,0.185546875,2.0,1.0,13,64,6,1232.26782226562,188.073196411133,0,1,faces,male,1,1,faces,P,female,VS,F,125,E01,520.904296875,1
0,1.0,0,26719,1.216796875,0.1875,2.0,1.0,12,74,7,1371.41015625,276.987731933594,0,1,faces,male,1,1,faces,P,female,VS,F,128,E01,533.501953125,1
0,1.0,0,26720,1.447265625,0.29296875,3.0,1.0,13,75,8,1373.9375,360.9306640625,0,1,faces,male,1,1,faces,P,female,VS,F,128,E01,533.501953125,1
0,1.0,0,26721,1.783203125,0.109375,4.0,1.0,14,76,9,1394.30407714844,461.801177978516,0,1,faces,female,1,1,faces,P,female,VS,F,128,E01,533.501953125,1
0,1.0,0,26722,1.966796875,0.19921875,5.0,0.0,6,32,10,896.250671386719,571.627502441406,0,1,faces,male,1,1,faces,P,female,VS,F,128,E01,533.501953125,1
0,1.0,0,26724,2.353515625,0.162109375,6.0,0.0,1,3,12,571.526794433594,378.707763671875,0,1,objects,small,1,1,faces,P,female,VS,F,128,E01,533.501953125,0
0,1.0,0,26923,1.39453125,0.216796875,2.0,1.0,4,27,5,808.619506835938,891.692504882812,0,1,faces,male,1,1,objects,P,small,VS,O,136,E01,567.095703125,1
0,1.0,0,26925,1.99609375,0.150390625,3.0,1.0,12,69,7,1277.42578125,650.456665039062,0,1,faces,male,1,1,objects,P,small,VS,O,136,E01,567.095703125,1
0,1.0,0,26926,2.17578125,0.1640625,4.0,1.0,11,68,8,1280.84851074219,577.437438964844,0,1,objects,small,1,1,objects,P,small,VS,O,136,E01,567.095703125,0
0,1.0,0,26927,2.443359375,0.3125,5.0,0.0,10,56,9,1160.91186523438,276.955200195312,0,1,faces,female,1,1,objects,P,small,VS,O,136,E01,567.095703125,1
0,1.0,0,27137,0.470703125,0.185546875,2.0,1.0,8,56,2,1162.59167480469,223.639694213867,0,1,objects,small,1,1,objects,P,small,VS,O,144,E01,600.689453125,0
0,1.0,0,27386,1.267578125,0.31640625,2.0,1.0,12,55,6,1174.64147949219,156.243988037109,0,1,faces,female,1,1,faces,P,female,VS,F,147,E01,613.287109375,1
0,1.0,0,27389,2.041015625,0.150390625,3.0,1.0,5,20,9,798.002563476562,240.397491455078,0,1,faces,male,1,1,faces,P,female,VS,F,147,E01,613.287109375,1
0,1.0,0,27410,1.017578125,0.138671875,2.0,1.0,4,20,4,720.695861816406,194.350250244141,0,1,faces,male,1,1,faces,P,male,VS,F,148,E01,617.486328125,1
0,1.0,1,27411,1.185546875,0.177734375,3.0,1.0,3,11,5,676.152404785156,235.807952880859,0,1,faces,female,1,1,faces,P,male,VS,F,148,E01,617.486328125,1
0,1.0,0,27413,1.5546875,0.25390625,4.0,1.0,5,23,7,729.996887207031,511.102111816406,0,1,faces,male,1,1,faces,P,male,VS,F,148,E01,617.486328125,1
