refix,pretarget,multifix,urevent,tonset,dur_added,rank,first_rank,stposrel,stposabs,n,x,y,istarget,isdistractor,distractor_cat,ditractor_atr,trial_targetseen,trial_correct,trial_cat,trial_resp,trial_atr,trial_type,trial_cattype,trial_number,trial_subject,trial_bgn_latency,Nrank,N_subj_rank,NC_subj_rank,NC_rank,VSNT_EX,isEX
0,1,0,27573,3.5390625,0.341796875,6,0,12,68,9,1281.28344726562,551.088439941406,0,1,faces,female,0,1,objects,A,big,VS,O,58,J04,239.556640625,1.0,0.36363636363636365,-0.13636363636363635,0.5,1,0
0,1,0,28094,0.541015625,0.66015625,2,1,6,32,3,870.632141113281,507.809265136719,0,1,objects,small,0,1,objects,A,big,EX,O,73,J04,302.544921875,0.0,0.0,-0.5,-0.5,0,1
1,1,0,28096,1.375,0.24609375,3,1,3,6,5,554.097106933594,629.232727050781,0,1,objects,big,0,1,objects,A,big,EX,O,73,J04,302.544921875,0.125,0.09090909090909091,-0.40909090909090906,-0.375,0,1
0,1,0,28097,1.640625,0.29296875,4,1,2,4,6,591.56494140625,391.671813964844,0,1,faces,male,0,1,objects,A,big,EX,O,73,J04,302.544921875,0.25,0.18181818181818182,-0.3181818181818182,-0.25,0,1
0,1,0,28100,2.515625,0.2265625,6,0,5,30,9,908.959167480469,328.095062255859,0,1,objects,big,0,1,objects,A,big,EX,O,73,J04,302.544921875,0.5,0.36363636363636365,-0.13636363636363635,0.0,0,1
0,1,1,28101,2.791015625,0.224609375,7,0,14,70,10,1277.59509277344,777.00537109375,0,1,faces,female,0,1,objects,A,big,EX,O,73,J04,302.544921875,0.625,0.45454545454545453,-0.04545454545454547,0.125,0,1
0,1,0,28103,3.197265625,0.21484375,8,0,12,61,12,1140.25354003906,738.648742675781,0,1,faces,female,0,1,objects,A,big,EX,O,73,J04,302.544921875,0.75,0.5454545454545454,0.045454545454545414,0.25,0,1
0,1,0,28104,3.427734375,0.171875,9,0,13,69,13,1256.68530273438,628.137390136719,0,1,objects,small,0,1,objects,A,big,EX,O,73,J04,302.544921875,0.875,0.6363636363636364,0.13636363636363635,0.375,0,1
0,1,0,28105,3.62109375,0.685546875,10,0,9,49,14,1033.13806152344,482.593139648438,0,1,faces,female,0,1,objects,A,big,EX,O,73,J04,302.544921875,1.0,0.7272727272727273,0.2272727272727273,0.5,0,1
0,1,0,28209,0.953125,0.40234375,2,1,3,8,6,542.48291015625,852.787414550781,0,1,faces,male,0,1,objects,A,big,VS,O,79,J04,327.740234375,0.0,0.0,-0.5,-0.5,1,0
0,1,1,28212,1.931640625,0.16796875,3,1,12,69,9,1225.86706542969,623.81884765625,0,1,objects,small,0,1,objects,A,big,VS,O,79,J04,327.740234375,1.0,0.09090909090909091,-0.40909090909090906,0.5,1,0
0,1,0,28282,2.068359375,0.22265625,2,1,15,76,10,1318.33715820312,402.806640625,0,1,objects,small,0,1,objects,A,small,VS,O,83,J04,344.537109375,0.0,0.0,-0.5,-0.5,1,0
0,1,0,28283,2.353515625,0.400390625,3,1,1,2,11,592.752258300781,241.4423828125,0,1,objects,small,0,1,objects,A,small,VS,O,83,J04,344.537109375,0.5,0.09090909090909091,-0.40909090909090906,0.0,1,0
0,1,0,28284,2.771484375,0.193359375,4,1,4,13,12,679.32861328125,419.579376220703,0,1,faces,male,0,1,objects,A,small,VS,O,83,J04,344.537109375,1.0,0.18181818181818182,-0.3181818181818182,0.5,1,0
